City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,puerto ayora,-0.7393,-90.3518,25.67,86,99,4.13,EC,1706917593
111,codrington,-38.2667,141.9667,22.34,32,0,3.29,AU,1706917664
112,bouarfa,32.53,-1.95,7.34,39,0,2.7,MA,1706917664
113,fale old settlement,-9.3852,-171.2468,29.0,73,98,6.92,TK,1706917664
114,port saint john's,-31.6229,29.5448,22.85,87,99,5.2,ZA,1706917664
115,prince rupert,54.3161,-130.3201,2.83,55,20,7.2,CA,1706917664
116,turbiv,49.3479,28.7212,-0.7,89,87,4.9,UA,1706917665
117,umiray,15.2206,121.4111,25.11,86,50,5.13,PH,1706917665
118,baiyin,36.5583,104.2081,-6.0,92,100,2.05,CN,1706917665
119,kruisfontein,-34.0033,24.7314,19.38,77,73,1.83,ZA,1706917665
120,west island,-12.1568,96.8225,26.99,89,40,4.63,CC,1706917596
121,lebu,-37.6167,-73.65,16.78,89,24,5.06,CL,1706917666
122,gadzhiyevo,69.2551,33.3362,-10.54,91,66,6.1,RU,1706917666
123,dul'durga,50.6761,113.5931,-23.93,95,10,1.15,RU,1706917666
124,moosic,41.3534,-75.7383,3.6,82,100,4.63,US,1706917667
125,tongliao,43.6125,122.2653,-20.82,95,35,1.67,CN,1706917667
126,crane,31.3974,-102.3501,14.8,46,70,11.43,US,1706917667
127,talnakh,69.4865,88.3972,-14.33,95,100,6.52,RU,1706917599
128,arraial do cabo,-22.9661,-42.0278,26.92,83,75,0.51,BR,1706917668
129,nantucket,41.2835,-70.0995,4.08,87,100,6.17,US,1706917668
130,hamilton,39.1834,-84.5333,6.91,72,0,5.66,US,1706917597
131,nogliki,51.8333,143.1667,-17.7,82,100,6.23,RU,1706917668
132,illizi,26.4833,8.4667,8.89,30,0,2.4,DZ,1706917669
133,uturoa,-16.7333,-151.4333,28.01,74,100,4.94,PF,1706917669
134,butembo,0.15,29.2833,16.98,68,87,1.29,CD,1706917669
135,enriquillo,17.9,-71.2333,24.82,86,75,1.54,DO,1706917669
136,mouila,-1.8685,11.0559,23.73,97,94,0.36,GA,1706917669
137,watseka,40.7762,-87.7364,4.08,80,5,3.4,US,1706917670
138,isangel,-19.55,169.2667,30.06,79,75,4.12,VU,1706917670
